clouds.all,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain,rain.1h,rain.3h,snow,snow.3h,sys.country,weather,wind.deg,wind.gust,wind.speed
56,-8.2789,-70.7519,1553551350,3661980,984.05,92,1006.18,1006.18,79.83,79.83,79.83,Tamandare,,,7.04,,,BR,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",67.5003,,3.04
90,39.5062,-90.4016,1553551344,4252975,,50,1024.0,,53.67,55.4,52.0,Barrow,,,,,,US,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",340.0,,12.75
0,-0.7394,-90.3518,1553551299,3652764,,70,1008.0,,81.95,84.2,79.0,Puerto Ayora,,,,,,EC,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01d'}]",70.0,,11.41
75,-21.2001,-175.2,1553547600,4032243,,74,1016.0,,80.6,80.6,80.6,Vaini,,,,,,TO,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",100.0,,11.41
92,66.9395,-53.6735,1553551352,3419842,947.65,86,983.54,983.54,21.06,21.06,21.06,Sisimiut,,,,,,GL,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",228.0,,2.04
0,-17.0293,-72.0156,1553551352,3934707,907.89,48,1010.26,1010.26,75.24,75.24,75.24,Mollendo,,,,,,PE,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01d'}]",196.0,,3.71
0,-22.9663,-42.0245,1553547600,3471451,,78,1012.0,,79.66,80.6,78.8,Arraial do Cabo,,,,,,BR,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",90.0,,5.82
0,77.484,-69.3633,1553551353,3831208,962.53,69,996.14,996.14,-6.49,-6.49,-6.49,Qaanaaq,,,,,,GL,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01d'}]",345.0,,9.75
20,-4.6167,55.45,1553547600,241131,,79,1010.0,,84.2,84.2,84.2,Victoria,,,,,,SC,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",260.0,,4.7
0,45.4548,41.9756,1553549400,565289,,59,1015.0,,35.17,35.6,35.01,Donskoye,,,,,,RU,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",130.0,,4.47
